Date,Open,High,Low,Close,Adj Close,Volume
2016-03-29,24957.240234375,25079.349609375,24835.560546875,24900.4609375,24900.4609375,11000
2016-03-30,25062.060546875,25358.83984375,25055.419921875,25338.580078125,25338.580078125,10700
2016-03-31,25364.75,25479.619140625,25223.220703125,25341.859375,25341.859375,11500
2016-04-01,25301.69921875,25354.939453125,25119.349609375,25269.640625,25269.640625,11400
2016-04-04,25333.98046875,25424.150390625,25223.490234375,25399.650390625,25399.650390625,7800
2016-04-05,25372.439453125,25372.439453125,24837.509765625,24883.58984375,24883.58984375,14800
2016-04-06,24978.859375,25000.650390625,24834.16015625,24900.630859375,24900.630859375,10300
2016-04-07,24998.7890625,25013.130859375,24647.48046875,24685.419921875,24685.419921875,19200
2016-04-08,24665.80078125,24736.029296875,24608.509765625,24673.83984375,24673.83984375,9700
2016-04-11,24789.400390625,25049.919921875,24523.19921875,25022.16015625,25022.16015625,25900
